"","X1","easting","northing","stream_order","elevation"
"1838",5904,6158754.5,2105612.1405,3,134.529998779297
"1839",5905,6159123.5,2105612.1405,3,135.309997558594
"1840",5906,6159732.5,2105612.1405,3,166.360000610352
"1841",5907,6159735.5,2105612.1405,3,166.360000610352
"1842",5914,6166074.5,2105612.1405,3,401.260009765625
"1843",5915,6168681.5,2105612.1405,4,340.839996337891
"1844",5919,6170961.5,2105612.1405,3,443.529998779297
"1845",5920,6172866.5,2105612.1405,3,295.649993896484
"1846",5922,6175011.5,2105612.1405,3,251.029998779297
"1847",5923,6175611.5,2105612.1405,6,227.320007324219
"1848",5924,6175824.5,2105612.1405,4,226.830001831055
"1849",5937,6180618.5,2105612.1405,4,395.559997558594
"1850",5947,6185043.5,2105612.1405,3,791.940002441406
"1851",5956,6187872.5,2105612.1405,4,743.859985351562
"1852",5957,6189315.5,2105612.1405,5,820.489990234375
"1853",5961,6192447.5,2105612.1405,3,1053.92004394531
"1854",5966,6157806.5,2105609.1405,3,158.860000610352
"1855",5967,6158394.5,2105609.1405,6,134.369995117188
"1856",5968,6158751.5,2105609.1405,3,134.389999389648
"1857",5969,6159123.5,2105609.1405,3,135.289993286133
"1858",5970,6159729.5,2105609.1405,3,169.139999389648
"1859",5977,6166074.5,2105609.1405,3,400.700012207031
"1860",5978,6168681.5,2105609.1405,4,340.630004882812
"1861",5982,6170958.5,2105609.1405,3,441.320007324219
